"ï..creation_date","line_number","quantity","org_id","ITEM_KEY","invoice_date","Line.Net.Sales...Local","Line.Net.Sales","line_total_cost_functional","line_total_cost_corp","Line.Prime.Cost...Local","Line.Prime.Cost","corp_exch","map_corp_exch","functionalcurr","Line.Gross.Sales...Local","Line.Gross.Sales","Line.Total.Discount...Local","Line.Total.Discount","transactionalcurrency","standardpricelistcurr","dsn","CUSTOMER_KEY","service_type","invoice_number","ORDER_NUMBER","ORDER_TYPE_ID","SourceTable","ORDER_STATUS","EM_KEY","Operational_Revenue","Operational_Revenue_Corp","Operational_Prime_Cost","Operational_Prime_Cost_corp","Operational_standard_cost","Operational_standard_cost_Corp","BMS.Order.Type.Code","Item.Number","Item.Description","User.Item.Type","BRAND_FRANCHISE_PRODUCT","PRICE_GROUP","CUSTOMER_NAME","CUSTOMER_NUMBER","CUSTOMER_TYPE","POSTAL_CODE","STATE","COUNTRY","INTERNAL_CUSTOMER_FLAG","BMS.Receivable.Type.Code","ï..creation_date.1","line_number.1","quantity.1","org_id.1","ITEM_KEY.1","invoice_date.1","Line.Net.Sales...Local.1","Line.Net.Sales.1","line_total_cost_functional.1","line_total_cost_corp.1","Line.Prime.Cost...Local.1","Line.Prime.Cost.1","corp_exch.1","map_corp_exch.1","functionalcurr.1","Line.Gross.Sales...Local.1","Line.Gross.Sales.1","Line.Total.Discount...Local.1","Line.Total.Discount.1","transactionalcurrency.1","standardpricelistcurr.1","dsn.1","CUSTOMER_KEY.1","service_type.1","invoice_number.1","ORDER_NUMBER.1","ORDER_TYPE_ID.1","SourceTable.1","ORDER_STATUS.1","EM_KEY.1","Operational_Revenue.1","Operational_Revenue_Corp.1","Operational_Prime_Cost.1","Operational_Prime_Cost_corp.1","Operational_standard_cost.1","Operational_standard_cost_Corp.1","BMS.Order.Type.Code.1","Item.Number.1","Item.Description.1","User.Item.Type.1","BRAND_FRANCHISE_PRODUCT.1","PRICE_GROUP.1","CUSTOMER_NAME.1","CUSTOMER_NUMBER.1","CUSTOMER_TYPE.1","POSTAL_CODE.1","STATE.1","COUNTRY.1","INTERNAL_CUSTOMER_FLAG.1","BMS.Receivable.Type.Code.1"
1,1,1,55,126,4,2951,2951,2037,2037,2037,2037,1,1,2,2037,2037,0,0,2,2,11,156,2,4624,140673,37,2,2,-1,2951,2951,2037,2037,2037,2037,1,88,45,74,10,2,212,156,4,61,22,2,1,4,1,1,1,55,126,4,2951,2951,2037,2037,2037,2037,1,1,2,2037,2037,0,0,2,2,11,156,2,4624,140673,37,2,2,-1,2951,2951,2037,2037,2037,2037,1,88,45,74,10,2,212,156,4,61,22,2,1,4
1,3,1,55,95,4,9,9,6,6,6,6,1,1,2,10.89,10.89,4.89,4.89,2,2,11,156,2,4624,140673,37,2,2,-1,9,9,6,6,6,6,1,75,260,98,10,7,212,156,4,61,22,2,1,4,1,3,1,55,95,4,9,9,6,6,6,6,1,1,2,10.89,10.89,4.89,4.89,2,2,11,156,2,4624,140673,37,2,2,-1,9,9,6,6,6,6,1,75,260,98,10,7,212,156,4,61,22,2,1,4
1,2,1,55,56,4,30,30,20.4,20.4,20.4,20.4,1,1,2,37.04,37.04,16.64,16.64,2,2,11,156,2,4624,140673,37,2,2,-1,30,30,20.4,20.4,20.4,20.4,1,48,306,98,10,7,212,156,4,61,22,2,1,4,1,2,1,55,56,4,30,30,20.4,20.4,20.4,20.4,1,1,2,37.04,37.04,16.64,16.64,2,2,11,156,2,4624,140673,37,2,2,-1,30,30,20.4,20.4,20.4,20.4,1,48,306,98,10,7,212,156,4,61,22,2,1,4
1,1,1,55,360,4,100,100,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,11,156,1,4624,140673,37,1,1,-1,100,100,0,0,0,0,1,266,148,82,10,2,212,156,4,61,22,2,1,4,1,1,1,55,360,4,100,100,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,11,156,1,4624,140673,37,1,1,-1,100,100,0,0,0,0,1,266,148,82,10,2,212,156,4,61,22,2,1,4
1,1,1,3,355,4,300,300,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,1,58,1,11753,10063,40,1,1,-1,300,300,0,0,0,0,1,266,179,84,10,2,97,57,14,192,43,2,1,14,1,1,1,3,355,4,300,300,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,1,58,1,11753,10063,40,1,1,-1,300,300,0,0,0,0,1,266,179,84,10,2,97,57,14,192,43,2,1,14
1,1,1,3,78,4,14696,14696,11513,11513,11513,11513,1,1,2,0,0,-11513,-11513,2,2,1,58,2,11753,10063,40,2,2,-1,14696,14696,11513,11513,11513,11513,1,61,163,119,10,2,97,57,14,192,43,2,1,14,1,1,1,3,78,4,14696,14696,11513,11513,11513,11513,1,1,2,0,0,-11513,-11513,2,2,1,58,2,11753,10063,40,2,2,-1,14696,14696,11513,11513,11513,11513,1,61,163,119,10,2,97,57,14,192,43,2,1,14
1,4,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4,1,4,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4
1,1,1,33,440,4,428,428,278,278,278,278,1,1,2,463,463,185,185,2,2,7,211,2,99996,877066,4,2,2,-1,428,428,278,278,278,278,1,324,316,88,10,2,165,211,14,90,50,2,1,14,1,1,1,33,440,4,428,428,278,278,278,278,1,1,2,463,463,185,185,2,2,7,211,2,99996,877066,4,2,2,-1,428,428,278,278,278,278,1,324,316,88,10,2,165,211,14,90,50,2,1,14
4,1,1,33,364,4,22.51,22.51,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,7,211,1,99996,877066,4,1,1,-1,22.51,22.51,0,0,0,0,1,267,180,85,10,2,165,211,14,90,50,2,1,14,4,1,1,33,364,4,22.51,22.51,1200,1200,1200,1200,1,1,2,279.22,279.22,0,0,2,2,7,211,1,99996,877066,4,1,1,-1,22.51,22.51,0,0,0,0,1,267,180,85,10,2,165,211,14,90,50,2,1,14
1,3,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4,1,3,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4
1,2,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4,1,2,1,54,309,4,26833.49,26833.49,22540,22540,22540,22540,1,1,2,0,0,-22540,-22540,2,2,11,49,2,6475,2413468,52,2,2,-1,26833.49,26833.49,22540,22540,22540,22540,1,227,18,76,10,2,11,48,4,118,24,2,1,4
1,1,1,54,336,4,22255.96,22255.96,18539,18539,18539,18539,1,1,2,0,0,-18539,-18539,2,2,11,49,2,6458,2413456,52,2,2,-1,22255.96,22255.96,18539,18539,18539,18539,1,248,76,76,10,2,11,48,4,118,24,2,1,4,1,1,1,54,336,4,22255.96,22255.96,18539,18539,18539,18539,1,1,2,0,0,-18539,-18539,2,2,11,49,2,6458,2413456,52,2,2,-1,22255.96,22255.96,18539,18539,18539,18539,1,248,76,76,10,2,11,48,4,118,24,2,1,4
