soi_line_type_id,soi_ordered_quantity,soi_quantity_invoiced,soi_quantity,soi_line_id,soi_org_id,soi_header_id,soi_ordered_item,soi_item_key,soi_invoice_date,soi_line_net_sales_functional,soi_line_net_sales_corp,soi_line_total_cost_functional,soi_line_total_cost_corp,soi_line_prime_cost_func,soi_line_prime_cost_corp,soi_dsn,soi_customer_key,soi_ucortp,soi_invoice_number,soi_order_number,soi_order_type_id,soi_order_status,soi_lob_l1_key,soi_lob_l2_key,soi_em_key,soi_brand_franchise_product,soi_price_level_code,soi_code_desc,soi_location_code,soi_location_name,soi_location_name_city_state,soi_discount_multiplier,soi_operational_revenue,soi_operational_revenue_corp,soi_operational_prime_cost,soi_operational_prime_cost_corp,soi_operational_standard_cost,soi_operational_standard_cost_corp,soi_grosssaleslocal,soi_grosssalescorp,soi_totaldiscountlocal,soi_totaldiscountcorp,itm_item_key,itm_organization_id,itm_item.description,itm_item.number,itm_user.item.type,itm_brand_franchise_product,itm_price_group,itm_dsn,cust_customer_id,cust_customer_name,cust_customer_number,cust_customer_key,cust_customer_type,cust_city,cust_postal_code,cust_state,cust_country,cust_internal_customer_flag,cust_dsn,cust_bmsreceivabletypecode,cust_primary.segment,cust_bmspricematrixname,cust_bmsdefaultpricelevel,org_name,org_code,org_division,org_org6...branch,ord_typ_order_type_id,ord_typ_order_type,eng_em_key
3,1,1,1,24553,23,11835,591,760,800,29.7,29.7,19.8,19.8,19.8,19.8,4,509,41,4086,996370,52,1,45,30,-1,16,1,7,100,30,30,0,29.7,29.7,19.8,19.8,19.8,19.8,19.8,19.8,0,0,760,4,1273,591,795,11,18,4,509,2095,495,509,18,131,1036,14,2,1,4,17,20,66,20,30,23,4,30,52,36,-1
3,1,1,1,3609,22,1660,919,1185,685,3520,3520,3015,3015,3015,3015,4,1433,6,19445,128364,12,1,20,30,-1,16,1,7,1,6,6,0,3520,3520,3015,3015,3015,3015,3015,3015,0,0,1185,4,440,919,581,11,5,4,1433,1521,1419,1433,18,1015,1185,14,2,1,4,17,20,71,20,7,22,4,2,12,18,-1
3,1,1,1,15778,20,6917,725,939,308,3592.5,3592.5,2874,2874,2874,2874,3,2041,31,1854,1454,39,1,11,29,-1,16,12,8,80,25,25,0,3592.5,3592.5,2874,2874,2874,2874,4470,4470,1596,1596,939,3,862,725,877,11,5,3,2041,2615,2028,2041,18,70,1272,24,2,1,3,17,20,77,21,25,20,3,25,39,32,-1
3,-1,-1,-1,14390,7,6160,1274,1734,153,-8554.02,-8554.02,0,0,0,0,2,3036,2,72579,97054,6,1,1,28,-1,16,3,1,26,15,15,0,-8554.02,-8554.02,0,0,0,0,0,0,0,0,1734,2,737,1274,765,11,10,2,3035,258,3022,3036,8,272,109,46,2,1,2,8,10,68,5,15,7,2,15,6,7,-1
2,1,1,1,16144,20,7156,2090,2767,80,3079.98,3079.98,2618,2618,2618,2618,3,3126,29,77,172,37,1,10,33,-1,17,5,3,80,25,25,0,3079.98,3079.98,2618,2618,2618,2618,2618,2618,0,0,2767,3,1669,2090,1044,11,5,3,3125,2681,3113,3126,18,917,1553,29,2,1,3,17,20,81,21,25,20,3,25,37,27,-1
3,1,1,1,30815,32,15877,2252,2961,898,530,530,477,477,477,477,4,650,15,66558,173736,21,1,26,30,-1,16,1,7,806,7,7,0,530,530,477,477,477,477,477,477,0,0,2961,4,2150,2252,935,11,5,4,650,99,636,650,18,988,394,51,2,1,4,17,20,66,20,8,32,4,4,21,23,-1
2,1,1,1,15841,20,6946,2045,2694,346,0,0,0,0,0,0,3,1115,29,1890,1483,37,1,10,29,-1,16,5,3,80,25,25,0,0,0,0,0,0,0,0,0,0,0,2694,3,1624,2045,1000,11,5,3,1115,276,1101,1115,3,1264,1347,24,2,1,3,3,20,81,21,25,20,3,25,37,27,-1
2,1,0,0,35583,32,19022,1961,2560,973,0,0,0,0,0,0,4,284,30,83546,183242,38,1,37,34,-1,17,11,7,806,7,7,0,0,0,0,0,0,0,0,0,0,0,2560,4,1534,1961,924,11,5,4,284,2119,270,284,2,180,1004,14,2,1,4,2,20,79,20,8,32,4,4,38,5,-1
2,-1,-1,-1,25694,32,12586,1610,2166,572,-19420.94,-19420.94,-16507.67,-16507.67,-16507.67,-16507.67,4,1971,26,47728,163713,34,1,35,34,-1,17,11,7,806,7,7,0,-19420.94,-19420.94,-16507.67,-16507.67,-16507.67,-16507.67,-16507.67,-16507.67,0,0,2166,4,963,1610,613,11,5,4,1971,2870,1960,1971,18,324,1774,7,2,1,4,17,20,79,20,8,32,4,4,34,6,-1
3,1,1,1,12366,7,5319,1175,1559,975,625.62,625.62,557,557,557,557,2,2988,1,67449,94110,2,1,1,28,-1,16,3,1,26,15,15,0,625.62,625.62,557,557,557,557,0,0,-557,-557,1559,2,1808,1175,420,11,5,2,2987,102,2974,2988,8,978,1708,18,2,1,2,8,10,68,5,15,7,2,15,2,41,-1
3,1,0,0,29845,32,15253,107,142,593,0,0,0,0,0,0,4,252,7,63591,172019,13,1,21,30,-1,16,4,2,806,7,7,0,0,0,0,0,0,0,0,0,0,0,142,4,850,107,581,11,5,4,252,1579,238,252,18,170,375,51,2,1,4,17,20,70,20,8,32,4,4,13,19,-1
2,1,0,0,33264,32,17380,1961,2560,1045,0,0,0,0,0,0,4,230,30,84452,178255,38,1,37,34,-1,17,11,7,806,7,7,0,0,0,0,0,0,0,0,0,0,0,2560,4,1534,1961,924,11,5,4,230,1051,216,230,2,726,453,51,2,1,4,2,20,79,20,8,32,4,4,38,5,-1
2,1,0,0,25645,32,12557,1961,2560,1020,0,0,0,0,0,0,4,273,26,54180,163624,34,1,35,34,-1,17,11,7,806,7,7,0,0,0,0,0,0,0,0,0,0,0,2560,4,1534,1961,924,11,5,4,273,1923,259,273,2,513,493,51,2,1,4,2,20,79,20,8,32,4,4,34,6,-1
3,1,1,1,3578,22,1659,919,1185,685,3520,3520,3015,3015,3015,3015,4,1433,6,19444,128363,12,1,20,30,-1,16,1,7,1,6,6,0,3520,3520,3015,3015,3015,3015,3015,3015,0,0,1185,4,440,919,581,11,5,4,1433,1521,1419,1433,18,1015,1185,14,2,1,4,17,20,71,20,7,22,4,2,12,18,-1
3,1,1,1,16317,20,7282,1169,1544,516,3529.03,3529.03,3282,3282,3282,3282,3,2402,21,2477,1856,28,1,8,29,-1,16,3,1,80,25,25,0,3529.03,3529.03,3282,3282,3282,3282,0,0,-3282,-3282,1544,3,1894,1169,854,11,10,3,2401,1220,2389,2402,18,197,1344,24,2,1,3,17,20,81,21,25,20,3,25,28,15,-1
3,1,1,1,35028,32,18621,624,812,780,4026,4026,3153,3153,3153,3153,4,281,7,80685,182122,13,1,21,30,-1,16,1,7,806,7,7,0,4026,4026,3153,3153,3153,3153,3153,3153,0,0,812,4,1529,624,581,11,5,4,281,2070,267,281,18,42,558,51,2,1,4,17,2,70,28,8,32,4,4,13,19,-1
3,1,1,1,19705,20,9371,1068,1380,564,25.6,25.6,19.2,19.2,19.2,19.2,3,2846,21,373,410,28,1,8,29,-1,16,3,1,80,25,25,0,25.6,25.6,19.2,19.2,19.2,19.2,32,32,12.8,12.8,1380,3,1277,1068,795,11,18,3,2845,1522,2832,2846,14,886,1651,29,2,1,3,13,20,5,21,25,20,3,25,28,15,-1
3,1,1,1,18606,20,8658,109,143,435,0,0,0,0,0,0,3,2404,1,4624,3291,3,1,1,29,-1,16,10,6,80,25,25,0,0,0,0,0,0,0,8710,8710,8710,8710,143,3,852,109,877,11,5,3,2403,702,2391,2404,10,845,104,46,2,2,3,10,2,10,21,25,20,3,25,3,41,-1
2,1,1,1,36258,32,19523,1935,2525,145,346.47,346.47,61.8,61.8,61.8,61.8,4,471,8,85422,184683,14,1,22,34,-1,17,11,7,806,7,7,0,346.47,346.47,61.8,61.8,61.8,61.8,61.8,61.8,0,0,2525,4,1486,1935,895,11,5,4,471,1828,457,471,18,172,639,23,2,1,4,17,20,79,20,8,32,4,4,14,20,-1
3,2,2,2,24581,23,11855,507,651,762,16,16,12,12,12,12,4,252,23,7081,998916,30,1,33,30,-1,16,1,7,100,30,30,0,16,16,12,12,12,12,12,12,0,0,651,4,1720,507,795,11,18,4,252,1579,238,252,18,170,375,51,2,1,4,17,20,70,20,30,23,4,30,30,37,-1
3,1,1,1,13142,7,5612,489,622,443,2951,2951,2361,2361,2361,2361,2,3053,1,69455,95157,2,1,1,28,-1,16,4,2,26,15,15,0,2951,2951,2361,2361,2361,2361,0,0,-2361,-2361,622,2,1930,489,877,11,3,2,3052,2462,3039,3053,15,1299,78,2,2,1,2,14,20,19,5,15,7,2,15,2,41,-1
3,1,1,1,7949,22,3791,294,395,1031,44.8,44.8,35.4,35.4,35.4,35.4,4,1332,43,24385,9096,57,1,47,30,-1,16,1,7,1,6,6,0,44.8,44.8,35.4,35.4,35.4,35.4,35.4,35.4,0,0,395,4,2107,294,795,11,18,4,1332,1972,1318,1332,18,475,1400,16,2,1,4,17,20,79,20,7,22,4,2,57,4,-1
2,1,1,1,31622,32,16377,1942,2533,277,43416,43416,36117.77,36117.77,36117.77,36117.77,4,1030,36,72466,175196,47,1,41,34,-1,17,11,7,806,7,7,0,43416,43416,36117.77,36117.77,36117.77,36117.77,36117.77,36117.77,0,0,2533,4,1494,1942,904,11,5,4,1030,726,1016,1030,9,53,45,11,2,2,4,9,20,12,22,8,32,4,4,47,14,-1
