"","soi_ordered_quantity","soi_line_net_sales_functional","soi_line_total_cost_functional","soi_line_prime_cost_corp","soi_ucortp","soi_lob_l2_key","soi_code_desc","soi_location_code","soi_totaldiscountlocal","soi_totaldiscountcorp","itm_item_key","itm_organization_id","cust_customer_id","cust_customer_number","cust_customer_key","cust_dsn","cust_bmsreceivabletypecode","eng_em_key"
"1311",1,47.5,30,30,1,28,2,26,20,20,762,2,2980,2967,2981,2,14,-1
"1312",1,0,0,0,29,29,7,80,0,0,2596,3,2729,2717,2730,3,17,-1
"1313",1,89,75,75,15,30,7,100,0,0,1385,4,509,495,509,4,17,-1
"1314",1,1525,1525,1525,29,29,3,80,0,0,2609,3,2183,2171,2184,3,17,-1
"1315",1,0,0,0,1,30,6,600,0,0,830,4,2972,2958,2973,4,10,-1
"1316",1,0,0,0,30,34,7,806,0,0,3048,4,577,563,577,4,17,-1
"1317",1,2724,2642,2642,37,30,7,1,0,0,921,4,1014,1000,1014,4,9,-1
"1318",1,2635,2064,2064,41,30,7,806,0,0,830,4,727,713,727,4,17,-1
"1319",1,187000,162994,162994,29,33,3,80,0,0,1278,3,2907,2893,2908,3,3,-1
"1320",1,35,30,30,1,27,1,3,25.5,25.5,761,1,2860,2847,2861,1,17,-1
"1321",1,3450,3105,3105,1,15,7,3,3250,3250,1229,1,2709,2697,2710,1,17,-1
"1322",1,64425,57016.74,57016.74,30,34,7,1,0,0,2560,4,1237,1223,1237,4,2,-1
"1323",1,5581.38,5581,5581,1,29,6,80,4009,4009,1116,3,1944,1933,1944,3,9,-1
"1324",1,1809,1555,1555,26,34,7,1,0,0,3078,4,300,286,300,4,17,-1
"1325",1,0,0,0,22,34,7,806,0,0,3078,4,454,440,454,4,17,-1
"1326",1,0,0,0,23,34,7,1,0,0,54,4,1312,1298,1312,4,17,-1
"1327",1,0,0,0,43,30,8,1,0,0,1185,4,1433,1419,1433,4,17,-1
"1328",1,76260,57719.4,57719.4,30,34,7,806,0,0,2560,4,432,418,432,4,17,-1
"1329",1,2732,2049,2049,31,29,8,30,1366,1366,828,3,21,7,21,3,17,-1
