,ï..creation_date,line_number,quantity,org_id,ITEM_KEY,invoice_date,Line.Net.Sales...Local,Line.Net.Sales,map_transactional,line_total_cost_functional,line_total_cost_corp,Line.Prime.Cost...Local,Line.Prime.Cost,corp_exch,map_corp_exch,functionalcurr,Line.Gross.Sales...Local,Line.Gross.Sales,Line.Total.Discount...Local,Line.Total.Discount,transactionalcurrency,standardpricelistcurr,dsn,CUSTOMER_KEY,service_type,invoice_number,ORDER_NUMBER,ORDER_TYPE_ID,SourceTable,ORDER_STATUS,Serial_Number,EM_KEY,Operational_Revenue,Operational_Revenue_Corp,Operational_Prime_Cost,Operational_Prime_Cost_corp,Operational_standard_cost,Operational_standard_cost_Corp,BMS.Project.Number,BMS.Order.Type.Code,Item.Number,Item.Description,User.Item.Type,BRAND_FRANCHISE_PRODUCT,ECC,ECC.Engine.Model,ECC.Engine.Range,SEGMENT_TYPE,Print.Part.Number,Long.Part.Number,Filtration.Prod.Class,Filtration.Prod.Group,Filtration.Prod.Family,PVC.Code,ECC.Code.Major,ECC.Code.Minor,SPC.Code.Major,SPC.Code.Interm,SPC.Code.Minor,Brand.Major,Brand.Minor,WPT.Major,WPT.Minor,VENDOR_ITEM.,PRICE_GROUP,Displacement.Liters,CUSTOMER_NAME,CUSTOMER_NUMBER,CUSTOMER_TYPE,POSTAL_CODE,STATE,COUNTRY,INTERNAL_CUSTOMER_FLAG,BMS.Receivable.Type.Code
5105,1,4,1,47,1420,8,1554.0,1554.0,0.0,1998.0,1998.0,1998.0,1998.0,1.0,1.0,2,0.0,0.0,-1998.0,-1998.0,2,2,6,868,2,70011,20393,84,2,2,1269.0,-1,1554.0,1554.0,0.0,0.0,0.0,0.0,13595,1,789,1839,1408,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,2922,835,20,1550,7,3,1,20
28474,1,1,1,83,1484,63,3238.64,3238.64,4750.0,2765.0,2765.0,2765.0,2765.0,1.0,1.0,2,4750.0,4750.0,1985.0,1985.0,2,2,8,3807,2,32677,1114143,8,2,2,4237.0,-1,3238.64,3238.64,2765.0,2765.0,2765.0,2765.0,13595,1,836,573,1411,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,6,1,561,3755,21,1023,5,3,1,21
26130,1,4,1,146,2309,72,438.27,438.27,780.0,398.0,398.0,398.0,398.0,1.0,1.0,2,780.0,780.0,382.0,382.0,2,2,12,839,2,4911,181358,129,2,2,8337.0,-1,438.27,438.27,398.0,398.0,398.0,398.0,13595,1,1340,2624,1134,26,18,4,2,1,519,520,10,7,5,17,3,1,11,15,14,3,2,4,5,405,16,1,388,806,6,444,56,3,1,6
9784,1,1,1,151,2125,19,2389.0,2389.0,3584.0,2150.0,2150.0,2150.0,2150.0,1.0,1.0,2,3584.0,3584.0,1434.0,1434.0,2,2,12,1862,2,5083,135511,129,2,2,4161.0,-1,2389.0,2389.0,2150.0,2150.0,2150.0,2150.0,13595,1,1255,2367,1134,26,18,4,2,1,445,446,10,7,5,17,3,1,2,2,2,3,2,4,5,341,16,1,3089,1822,3,1119,16,3,1,3
26750,1,1,1,38,1750,57,175.8,175.8,262.96,150.26,150.26,150.26,150.26,1.0,1.0,2,262.96,262.96,112.7,112.7,2,2,5,1722,2,86882,756779,83,2,2,4241.5,-1,175.8,175.8,150.26,150.26,150.26,150.26,13595,1,1022,2859,1503,26,30,4,2,1,381,381,10,7,5,13,14,10,2,2,2,3,2,4,7,406,22,11,472,1682,7,2195,21,3,1,7
19989,1,7,1,206,5200,55,0.0,0.0,315.68,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,2,2,14,3827,2,30738,229068,78,2,2,4241.5,-1,0.0,0.0,0.0,0.0,0.0,0.0,509,1,2875,2724,1742,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,3354,3775,27,125,50,3,1,27
20178,1,3,1,175,2969,73,750.0,750.0,933.82,529.2,529.2,529.2,529.2,1.0,1.0,2,933.82,933.82,404.62,404.62,2,2,12,1951,2,3612,253077,129,2,2,4241.5,-1,750.0,750.0,529.2,529.2,529.2,529.2,13595,1,1560,2450,1210,26,18,4,2,1,712,713,10,7,5,14,3,1,11,15,14,3,2,4,5,590,22,1,3179,1908,5,422,43,3,1,5
6239,1,1,0,151,4505,12,0.0,0.0,315.68,0.0,0.0,0.0,0.0,1.0,1.0,2,0.0,0.0,0.0,0.0,2,2,12,3724,2,4567,135372,76,2,2,4241.5,-1,0.0,0.0,0.0,0.0,0.0,0.0,2253,1,2499,2271,1414,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,3977,3673,3,490,14,3,1,3
5764,1,3,1,70,1255,11,40.7,40.7,53.4,30.0,30.0,30.0,30.0,1.0,1.0,2,53.4,53.4,23.4,23.4,2,2,8,1344,2,21694,995527,8,2,2,4241.5,-1,40.7,40.7,30.0,30.0,30.0,30.0,13595,1,689,1937,1210,26,18,4,2,1,239,238,10,7,5,15,3,1,14,2,2,3,2,4,5,185,22,1,644,1306,21,203,19,3,1,21
4147,1,1,1,117,5354,5,-709.19,-709.19,315.68,790.0,776.4,790.0,776.4,1.0,1.0,2,294.76,292.72,0.0,0.0,2,2,11,1987,1,4420,341084,75,1,1,4241.5,-1,-709.19,-709.19,0.0,0.0,0.0,0.0,13595,1,2974,2895,1837,26,18,4,2,1,520,521,10,7,5,15,3,1,11,2,2,3,2,4,5,406,16,1,818,1943,27,1488,19,3,1,27
